technique_id,technique_name,tactic,severity,bank_relevance,siem_usecase_id,siem_usecase_name,dora_article,tiber_phase,description_de
T1003,Credential Dumping,credential-access,critical,sehr_hoch,UC-BANK-001,Credential Access Detection - Credential Dumping,Art.25,Active-Phase,"Erkennung von OS Credential Dumping (LSASS, SAM, NTDS, DCSync)"
T1003.001,OS Credential Dumping: LSASS Memory,credential-access,critical,sehr_hoch,UC-BANK-001,Credential Access Detection - Credential Dumping,Art.25,Active-Phase,LSASS Prozess-Memory-Dump via Procdump oder Mimikatz
T1003.002,OS Credential Dumping: Security Account Manager,credential-access,critical,sehr_hoch,UC-BANK-001,Credential Access Detection - Credential Dumping,Art.25,Active-Phase,Security Account Manager (SAM) Credential Extraktion
T1003.003,OS Credential Dumping: NTDS,credential-access,critical,sehr_hoch,UC-BANK-001,Credential Access Detection - Credential Dumping,Art.25,Active-Phase,Active Directory NTDS.dit Extraktion via Shadow Copy
T1003.006,OS Credential Dumping: DCSync,credential-access,critical,sehr_hoch,UC-BANK-001,Credential Access Detection - Credential Dumping,Art.25,Active-Phase,DCSync Angriff via Directory Replication
T1003.007,OS Credential Dumping: Proc Filesystem,credential-access,critical,sehr_hoch,UC-BANK-001,Credential Access Detection - Credential Dumping,Art.25,Active-Phase,Credential Dump aus /proc Dateisystem
T1003.008,OS Credential Dumping: /etc/passwd and /etc/shadow,credential-access,critical,sehr_hoch,UC-BANK-001,Credential Access Detection - Credential Dumping,Art.25,Active-Phase,/etc/passwd und /etc/shadow Extraktion
T1040,Network Sniffing,credential-access,critical,sehr_hoch,UC-BANK-002,Credential Access Detection - Network Sniffing,Art.25,Active-Phase,Netzwerk-Traffic-Sniffing fuer Credential-Theft
T1055.002,Process Injection: Portable Executable Injection,credential-access,critical,sehr_hoch,UC-BANK-003,Credential Access Detection - Process Injection: Portable Executable Injection,Art.25,Active-Phase,Code-Injection in laufende Prozesse - Process Injection: Portable Executable Injection
T1110.003,Brute Force: Password Spraying,credential-access,critical,sehr_hoch,UC-BANK-004,Credential Access Detection - Brute Force: Password Spraying,Art.25,Active-Phase,Brute-Force Angriff auf Zugangsdaten - Brute Force: Password Spraying
T1528,Steal Application Access Token,credential-access,critical,sehr_hoch,UC-BANK-005,Credential Access Detection - Steal Application Access Token,Art.25,Active-Phase,Steal Application Access Token
