technique_id,technique_name,tactic,severity,bank_relevance,siem_usecase_id,siem_usecase_name,dora_article,tiber_phase,description_de
T1003,OS Credential Dumping,credential-access,critical,sehr_hoch,UC-BANK-001,Credential Dumping Detection,Art.25,Active-Phase,Erkennung von LSASS-Memory-Dumps und Credential-Harvesting
T1003.001,LSASS Memory,credential-access,critical,sehr_hoch,UC-BANK-001,Credential Dumping Detection,Art.25,Active-Phase,LSASS Prozess-Memory-Dump via Procdump oder Mimikatz
T1003.003,NTDS,credential-access,critical,sehr_hoch,UC-BANK-001,Credential Dumping Detection,Art.25,Active-Phase,Active Directory NTDS.dit Extraktion
T1005,Data from Local System,collection,high,hoch,UC-BANK-010,Sensitive Data Access,Art.25,Active-Phase,Zugriff auf lokale sensible Dateien
T1016,System Network Configuration,discovery,medium,mittel,UC-BANK-003,Network Reconnaissance,Art.25,Recon-Phase,Netzwerkkonfigurations-Enumeration
T1018,Remote System Discovery,discovery,medium,hoch,UC-BANK-003,Network Reconnaissance,Art.25,Recon-Phase,Erkennung von Netzwerk-Scanning und Host-Discovery
T1021,Remote Services,lateral-movement,high,sehr_hoch,UC-BANK-004,Lateral Movement Detection,Art.25,Active-Phase,Nutzung von Remote-Services fuer Lateral Movement
T1021.002,SMB/Windows Admin Shares,lateral-movement,high,sehr_hoch,UC-BANK-004,Lateral Movement Detection,Art.25,Active-Phase,SMB-basiertes Lateral Movement
T1021.004,SSH,lateral-movement,high,hoch,UC-BANK-004,Lateral Movement Detection,Art.25,Active-Phase,SSH-basiertes Lateral Movement
T1021.006,Windows Remote Management,lateral-movement,high,sehr_hoch,UC-BANK-004,Lateral Movement Detection,Art.25,Active-Phase,WinRM-basiertes Lateral Movement
T1027,Obfuscated Files,defense-evasion,high,hoch,UC-BANK-007,Defense Evasion Detection,Art.25,Active-Phase,Verschleierte Dateien oder Informationen
T1029,Scheduled Transfer,exfiltration,high,sehr_hoch,UC-BANK-006,Data Exfiltration Detection,Art.25,Active-Phase,Geplante automatische Datenuebertragung
T1030,Data Transfer Size Limits,exfiltration,high,hoch,UC-BANK-006,Data Exfiltration Detection,Art.25,Active-Phase,Aufgeteilte Datenexfiltration in kleinen Stuecken
T1036,Masquerading,defense-evasion,high,hoch,UC-BANK-007,Defense Evasion Detection,Art.25,Active-Phase,Tarnung als legitimer Prozess oder Datei
T1040,Network Sniffing,credential-access,high,sehr_hoch,UC-BANK-001,Credential Dumping Detection,Art.25,Active-Phase,Netzwerk-Traffic-Sniffing fuer Credential-Theft
T1041,Exfiltration Over C2,exfiltration,critical,sehr_hoch,UC-BANK-006,Data Exfiltration Detection,Art.25,Active-Phase,Datenexfiltration ueber C2-Kanal
T1047,WMI,execution,high,hoch,UC-BANK-005,Suspicious Execution,Art.25,Active-Phase,Windows Management Instrumentation Ausfuehrung
T1048,Exfiltration Over Alternative Protocol,exfiltration,critical,sehr_hoch,UC-BANK-006,Data Exfiltration Detection,Art.25,Active-Phase,Exfiltration ueber alternativen Protokollkanal
T1048.003,Exfiltration Over Unencrypted Non-C2,exfiltration,critical,sehr_hoch,UC-BANK-006,Data Exfiltration Detection,Art.25,Active-Phase,Exfiltration ueber FTP oder andere unverschluesselte Protokolle
T1049,System Network Connections,discovery,medium,mittel,UC-BANK-003,Network Reconnaissance,Art.25,Recon-Phase,Aktive Netzwerkverbindungen auflisten
T1053,Scheduled Task/Job,persistence,high,hoch,UC-BANK-008,Persistence Detection,Art.25,Active-Phase,Persistenz via geplante Aufgaben
T1053.003,Cron,persistence,high,hoch,UC-BANK-008,Persistence Detection,Art.25,Active-Phase,Linux Cron-Job Persistenz
T1055,Process Injection,defense-evasion,critical,sehr_hoch,UC-BANK-007,Defense Evasion Detection,Art.25,Active-Phase,Code-Injection in laufende Prozesse
